1;EldonBaseforstackablestorageshelf,platinum;Muhammed MacIntyre;3;-213.25;38.94;35.0;Nunavut;Storage  Organization;0.8
2;1.7CubicFootCompactCubeOfficeRefrigerators;Barry French;293;457.81;208.16;68.02;Nunavut;Appliances;0.58
3;CardinalSlantDRiÜüüngBinder,HeavyGaugeVinyl;Barry French;293;46.71;8.69;2.99;Nunavut;Binders and Binder Accessories;0.39
4;AÄäÖöÜüR380;Clay Rozendal;483;1198.97;195.99;3.99;Nunavut;Telephones and Communication;0.58
5;HolmesHEPAAirPurifier;Carlos Soltero;515;30.94;21.78;5.94;Nunavut;Appliances;0.5
6;G.E.LongerLifeIndoorRecessedFloodlightBulbs;Carlos Soltero;515;4.43;6.64;4.95;Nunavut;Office Furnishings;0.37
7;AngleDBinderswithLockingRings,LabelHolders;Carl Jackson;613;-54.04;7.3;7.72;Nunavut;Binders and Binder Accessories;0.38
8;SAFCOMobileDeskSideFile,WireFrame;Carl Jackson;613;127.7;42.76;6.22;Nunavut;Storage  Organization;nan
9;SAFCOCommercialWireShelving,Black;Monica Federle;643;-695.26;138.14;35.0;Nunavut;Storage  Organization;nan
10;Xerox198;Dorothy Badders;678;-226.36;4.98;8.33;Nunavut;Paper;0.38
11;Xerox1980;Neola Schneider;807;-166.85;4.28;6.18;Nunavut;Paper;0.4
12;AdvantusMapPennantFlagsandRoundHeadTacks;Neola Schneider;807;-14.33;3.95;2.0;Nunavut;Rubber Bands;0.53
13;HolmesHEPAAirPurifier;Carlos Daly;868;134.72;21.78;5.94;Nunavut;Appliances;0.5
14;DSHDIBMFormattedDiskettes,200PackStaples;Carlos Daly;868;114.46;47.98;3.61;Nunavut;Computer Peripherals;0.71
15;WilsonJones1HangingDublLockRingBinders;Claudia Miner;933;-4.72;5.28;2.99;Nunavut;Binders and Binder Accessories;0.37
16;UltraCommercialGradeDualValveDoorCloser;Neola Schneider;995;782.91;39.89;3.04;Nunavut;Office Furnishings;0.53
17;10418x912PremiumDiagonalSeamEnvelopes;Allen Rosenblatt;998;93.8;15.74;1.39;Nunavut;Envelopes;0.4
18;Hon4ShelfMetalBookcases;Sylvia Foulston;1154;440.72;100.98;26.22;Nunavut;Bookcases;0.6
19;LesroSheffieldCollectionCoffeeTable,EndTable,CenterTable,CornerTable;Sylvia Foulston;1154;-481.04;71.37;69.0;Nunavut;Tables;0.68
20;g520;Jim Radford;1344;-11.68;65.99;5.26;Nunavut;Telephones and Communication;0.59
21;LX788;Jim Radford;1344;313.58;155.99;8.99;Nunavut;Telephones and Communication;0.58
22;Avery52;Carlos Soltero;1412;26.92;3.69;0.5;Nunavut;Labels;0.38
23;PlymouthBoxedRubberBandsbyPlymouth;Carlos Soltero;1412;-5.77;4.71;0.7;Nunavut;Rubber Bands;0.8
24;GBCPrePunchedBindingPaper,Plastic,White,812x11;Carl Ludwig;1539;-172.88;15.99;13.18;Nunavut;Binders and Binder Accessories;0.37
25;Maxell3.5DSHDIBMFormattedDiskettes,10Pack;Carl Ludwig;1539;-144.55;4.89;4.93;Nunavut;Computer Peripherals;0.66
26;Newell335;Don Miller;1540;5.76;2.88;0.7;Nunavut;Pens  Art Supplies;0.56
27;SANFORDLiquidAccentTankStyleHighlighters;Annie Cyprus;1702;4.9;2.84;0.93;Nunavut;Pens  Art Supplies;0.54
28;CanonPC940Copier;Carl Ludwig;1761;-547.61;449.99;49.0;Nunavut;Copiers and Fax;0.38
29;TenexPersonalProjectFilewithScoopFrontDesign,Black;Carlos Soltero;1792;-5.45;13.48;4.51;Nunavut;Storage  Organization;0.59
30;ColErasePencilswithErasers;Grant Carroll;2275;41.67;6.08;1.17;Nunavut;Pens  Art Supplies;0.56
31;Imation3.5DSHDIBMFormattedDiskettes,10Pack;Don Miller;2277;-46.03;5.98;4.38;Nunavut;Computer Peripherals;0.75
32;WhiteDualPerfComputerPrintoutPaper,2700Sheets,1Part,Heavyweight,20lbs.,1478x11;Don Miller;2277;33.67;40.99;19.99;Nunavut;Paper;0.36
33;SelfAdhesiveAddressLabelsforTypewritersbyUniversal;Alan Barnes;2532;140.01;7.31;0.49;Nunavut;Labels;0.38
34;Accessory37;Alan Barnes;2532;-78.96;20.99;2.5;Nunavut;Telephones and Communication;0.81
35;Fuji5.2GBDVDRA;Jack Garza;2631;252.66;40.96;1.99;Nunavut;Computer Peripherals;0.55
36;BevisSteelFoldingChairs;Julia West;2757;-1766.01;95.95;74.35;Nunavut;Chairs  Chairmats;0.57
37;AveryBinderLabels;Eugene Barchas;2791;-236.27;3.89;7.01;Nunavut;Binders and Binder Accessories;0.37
38;HonEveryDayChairSeriesSwivelTaskChairs;Eugene Barchas;2791;80.44;120.98;30.0;Nunavut;Chairs  Chairmats;0.64
39;IBMMultiPurposeCopyPaper,812x11,Case;Eugene Barchas;2791;118.94;30.98;5.76;Nunavut;Paper;0.4
40;GlobalTroyExecutiveLeatherLowBackTilter;Edward Hooks;2976;3424.22;500.98;26.0;Nunavut;Chairs  Chairmats;0.6
41;XtraLifeClearVueSlantDRingBindersbyCardinal;Brad Eason;3232;-11.83;7.84;4.71;Nunavut;Binders and Binder Accessories;0.35
42;ComputerPrintoutPaperwithLetterTrimPerforations;Nicole Hansen;3524;52.35;18.97;9.03;Nunavut;Paper;0.37
43;6160;Dorothy Wardle;3908;-180.2;115.99;2.5;Nunavut;Telephones and Communication;0.57
44;Avery49;Aaron Bergman;4132;1.32;2.88;0.5;Nunavut;Labels;0.36
45;HooverPortapowerPortableVacuum;Jim Radford;4612;-375.64;4.48;49.0;Nunavut;Appliances;0.6
46;TimeportL7089;Annie Cyprus;4676;-104.25;125.99;7.69;Nunavut;Telephones and Communication;0.58
47;Avery510;Annie Cyprus;4676;85.96;3.75;0.5;Nunavut;Labels;0.37
48;Xerox1881;Annie Cyprus;4676;-8.38;12.28;6.47;Nunavut;Paper;0.38
49;LX788;Annie Cyprus;4676;1115.69;155.99;8.99;Nunavut;Telephones and Communication;0.58
50;CardinalSlantDRingBinder,HeavyGaugeVinyl;Annie Cyprus;5284;-3.05;8.69;2.99;Nunavut;Binders and Binder Accessories;0.39
51;Memorex4.7GBDVDRA,3Pack;Clay Rozendal;5316;514.07;31.78;1.99;Nunavut;Computer Peripherals;0.42
52;UnpaddedMemoSlips;Don Jones;5409;-7.04;3.98;2.97;Nunavut;Paper;0.35
53;AdamsTelephoneMessageBookWDividersSpaceForPhoneNumbers,514X812,300Messages;Beth Thompson;5506;4.41;5.88;3.04;Nunavut;Paper;0.36
54;EldonExpressionsDeskAccessory,WoodPencilHolder,Oak;Frank Price;5569;-0.06;9.65;6.22;Nunavut;Office Furnishings;0.55
55;BellSonecorJB700CallerID;Michelle Lonsdale;5607;-50.33;7.99;5.03;Nunavut;Telephones and Communication;0.6
56;AveryArchRingBinders;Ann Chong;5894;87.68;58.1;1.49;Nunavut;Binders and Binder Accessories;0.38
57;APC7OutletNetworkSurgeArrestSurgeProtector;Ann Chong;5894;-68.22;80.48;4.5;Nunavut;Appliances;0.55
58;DeflectoRollaMatStudded,BeveledMatforMediumPileCarpeting;Joy Bell;5925;-354.9;92.23;39.61;Nunavut;Office Furnishings;0.67
59;Accessory4;Joy Bell;5925;-267.01;85.99;0.99;Nunavut;Telephones and Communication;0.85
60;PersonalCreationsInkJetCardsandLabels;Skye Norling;6016;3.63;11.48;5.43;Nunavut;Paper;0.36
61;HighSpeedAutomaticElectricLetterOpener;Barry Weirich;6116;-1759.58;1637.53;24.49;Nunavut;Scissors, Rulers and Trimmers;0.81
62;Xerox1966;Grant Carroll;6182;-116.79;6.48;6.65;Nunavut;Paper;0.36
63;Xerox213;Grant Carroll;6182;-67.28;6.48;7.86;Nunavut;Paper;0.37
64;BostonElectricPencilSharpener,Model1818,CharcoalBlack;Adrian Hane;6535;-19.33;28.15;8.99;Nunavut;Pens  Art Supplies;0.57
65;HammermillCopyPlusCopyPaper20Lb.and84Bright;Skye Norling;6884;-61.21;4.98;4.75;Nunavut;Paper;0.36
66;TelephoneMessageBookswithFaxMobileSection,512x3316;Skye Norling;6884;119.09;6.35;1.02;Nunavut;Paper;0.39
67;CrateAFiles;Andrew Gjertsen;6916;-141.27;10.9;7.46;Nunavut;Storage  Organization;0.59
